id,description
1324,c0_a0A_f0
1325,c1_a0A_f0
1326,c0_a1A_f0
1327,c0_a2A_f0
1328,c0_a3A_f0
1329,c0_a4A_f0
1330,c0_a0B_f0
1331,c0_a1B_f0
1332,c0_a2B_f0
1333,c0_a3B_f0
1334,c0_a4B_f0
1356,c0_a0A_f1
1357,c1_a0A_f1
1358,c2_a0A_f1
1359,c0_a1A_f1
1360,c0_a2A_f1
1361,c0_a3A_f1
1362,c1_a3A_f1
1363,c2_a3A_f1
1364,c0_a0B_f1
1365,c1_a0B_f1
1366,c2_a0B_f1
1367,c0_a1B_f1
1368,c0_a2B_f1
1369,c0_a3B_f1
1370,c1_a3B_f1
1371,c2_a3B_f1
1386,c0_a0A_f2
1387,c1_a0A_f2
1388,c0_a1A_f2
1389,c0_a2A_f2
1390,c0_a3A_f2
1391,c1_a3A_f2
1392,c2_a3A_f2
1393,c0_a0B_f2
1394,c1_a0B_f2
1395,c2_a0B_f2
1396,c0_a1B_f2
1397,c0_a2B_f2
1398,c0_a3B_f2
1399,c1_a3B_f2
1400,c2_a3B_f2
1401,c3_a3B_f2
1416,c0_a0A_f3
1417,c1_a0A_f3
1418,c2_a0A_f3
1419,c0_a1A_f3
1420,c0_a2A_f3
1421,c0_a3A_f3
1422,c1_a3A_f3
1423,c2_a3A_f3
1424,c0_a0B_f3
1425,c1_a0B_f3
1426,c2_a0B_f3
1427,c0_a1B_f3
1428,c0_a2B_f3
1429,c0_a3B_f3
1430,c1_a3B_f3
1431,c2_a3B_f3
