id,description
1212,rER0_c0_a3B_f0
1213,rER1_c0_a3B_f0
1214,rER0_c0_a4B_f0
1215,rER1_c0_a4B_f0
1216,rIC0_c0_a3A_f0
1217,rIC1_c0_a3A_f0
1218,rIC0_c0_a4A_f0
1219,rIC1_c0_a4A_f0
1260,rSURG0_c1_a0A_f0
1261,rSURG1_c1_a0A_f0
1262,rSURG2_c1_a0A_f0
1263,rSURG3_c1_a0A_f0
1264,rSURG4_c0_a0A_f0
1265,rSURG5_c0_a0A_f0
1266,rSURG6_c0_a0A_f0
1267,rSURG0_c0_a1A_f0
1268,rSURG1_c0_a1A_f0
1269,rSURG2_c0_a1A_f0
1270,rSURG3_c0_a1A_f0
1271,rSURG4_c0_a1A_f0
1272,rSURG5_c0_a1A_f0
1273,rSURG6_c0_a1A_f0
1274,rSURG7_c0_a1A_f0
1275,rSURG8_c0_a1A_f0
1276,rSURG9_c0_a1A_f0
1277,rSURG0_c0_a2A_f0
1278,rSURG1_c0_a2A_f0
1279,rSURG2_c0_a2A_f0
1280,rSURG3_c0_a2A_f0
1281,rSURG4_c0_a2A_f0
1282,rSURG5_c0_a2A_f0
1283,rSURG6_c0_a2A_f0
1284,rSURG7_c0_a2A_f0
1285,rSURG8_c0_a2A_f0
1286,rSURG9_c0_a2A_f0
46,rRAD0_c0_a0B_f0
47,rRAD1_c0_a0B_f0
48,rRAD2_c0_a0B_f0
49,rRAD3_c0_a0B_f0
50,rRAD4_c0_a0B_f0
51,rRAD5_c0_a0B_f0
52,rRAD6_c0_a0B_f0
53,rRAD7_c0_a0B_f0
54,rRAD0_c0_a1B_f0
55,rRAD1_c0_a1B_f0
56,rRAD2_c0_a1B_f0
57,rRAD3_c0_a1B_f0
58,rRAD4_c0_a1B_f0
59,rRAD5_c0_a1B_f0
60,rRAD6_c0_a1B_f0
61,rRAD7_c0_a1B_f0
62,rRAD0_c0_a2B_f0
63,rRAD1_c0_a2B_f0
64,rRAD2_c0_a2B_f0
65,rRAD3_c0_a2B_f0
66,rRAD4_c0_a2B_f0
67,rRAD5_c0_a2B_f0
68,rRAD6_c0_a2B_f0
69,rRAD7_c0_a2B_f0
106,r0_c2_a0A_f1
109,r1_c2_a0A_f1
112,r2_c2_a0A_f1
115,r3_c2_a0A_f1
118,r4_c2_a0A_f1
121,r5_c2_a0A_f1
124,r6_c0_a0A_f1
127,r7_c0_a0A_f1
130,r8_c0_a0A_f1
133,r9_c0_a0A_f1
136,r10_c0_a0A_f1
139,r11_c1_a0A_f1
142,r12_c1_a0A_f1
145,r13_c1_a0A_f1
148,r14_c1_a0A_f1
151,r15_c1_a0A_f1
154,r0_c0_a1A_f1
157,r1_c0_a1A_f1
160,r2_c0_a1A_f1
163,r3_c0_a1A_f1
166,r4_c0_a1A_f1
169,r5_c0_a1A_f1
